Date,Total_Sales,Transaction_Count,Avg_Transaction,Gross_Sales
2023-01-08,1268.99,10,126.899,1268.99
2023-01-09,2230.0,17,131.1764705882353,2230.0
2023-01-10,2134.98,18,118.61,2134.98
2023-01-11,1484.15,11,134.9227272727273,1781.0
2023-01-12,1674.98,18,93.05444444444444,2010.0
2023-02-08,1545.0,13,118.84615384615384,1545.0
2023-02-09,2104.99,14,150.35642857142855,2104.99
2023-02-10,3251.0,20,162.55,3251.0
2023-02-11,1241.66,13,95.5123076923077,1490.0
2023-02-12,3672.46,51,72.00901960784314,4406.97
2023-03-08,2110.0,14,150.71428571428572,2110.0
2023-03-09,1185.0,3,395.0,1185.0
2023-03-10,1566.0,11,142.36363636363637,1566.0
2023-03-11,2170.83,24,90.45125,2605.0
2023-03-12,2312.48,36,64.23555555555555,2775.0
2023-04-08,1999.99,19,105.26263157894736,1999.99
2023-04-09,890.0,6,148.33333333333334,890.0
2023-04-10,2005.0,18,111.38888888888889,2005.0
2023-04-11,2452.07,22,111.45772727272728,2942.5
2023-04-12,1475.0,20,73.75,1770.0
2023-05-08,3731.0,25,149.24,3731.0
2023-05-09,2566.99,13,197.46076923076922,2566.99
2023-05-10,569.98,9,63.33111111111111,569.98
2023-05-11,1962.49,25,78.4996,2355.0
2023-05-12,1958.32,29,67.52827586206897,2350.0
2023-06-08,5194.98,15,346.332,5194.98
2023-06-09,5526.0,15,368.4,5526.0
2023-06-10,2463.9700000000003,26,94.76807692307693,2463.9700000000003
2023-06-11,2442.48,22,111.02181818181818,2930.99
2023-06-12,1341.68,18,74.53777777777778,1610.0
2023-07-08,1440.0,12,120.0,1440.0
2023-07-09,1400.0,11,127.27272727272727,1400.0
2023-07-10,2749.99,25,109.99959999999999,2749.99
2023-07-11,3215.85,26,123.68653846153846,3859.0
2023-07-12,2199.99,30,73.333,2640.0
2023-08-07,135.0,1,135.0,135.0
2023-08-08,2640.0,9,293.3333333333333,2640.0
2023-08-09,1185.0,11,107.72727272727273,1185.0
2023-08-10,2245.0,12,187.08333333333334,2245.0
2023-08-11,1137.49,13,87.49923076923076,1365.0
2023-08-12,3712.4700000000003,39,95.19153846153847,4454.98
2023-09-07,1100.0,10,110.0,1100.0
2023-09-08,1330.0,11,120.9090909090909,1330.0
2023-09-09,1774.99,14,126.785,1774.99
2023-09-10,1984.98,18,110.27666666666667,1984.98
2023-09-11,2095.83,21,99.80142857142857,2515.0
2023-09-12,4145.81,51,81.29039215686275,4974.99
2023-10-07,3336.99,15,222.46599999999998,3336.99
2023-10-08,1334.0,8,166.75,1334.0
2023-10-09,2349.0,12,195.75,2349.0
2023-10-10,1172.49,18,65.13833333333334,1380.0
2023-10-11,4063.36,36,112.87111111111112,4876.0
2023-10-12,3286.67,44,74.69704545454546,3944.0
2023-11-07,1483.99,12,123.66583333333334,1483.99
2023-11-08,2009.99,19,105.78894736842105,2009.99
2023-11-09,1855.0,17,109.11764705882354,1855.0
2023-11-10,316.65999999999997,4,79.16499999999999,380.0
2023-11-11,2614.15,26,100.54423076923078,3136.99
2023-11-12,2654.15,33,80.42878787878789,3184.99
2023-12-07,2204.0,20,110.2,2204.0
2023-12-08,4022.96,34,118.32235294117648,4022.96
2023-12-09,1414.98,12,117.915,1414.98
2023-12-10,1287.5,9,143.05555555555554,1545.0
2023-12-11,1116.66,12,93.055,1340.0
2023-12-12,3150.0,50,63.0,3780.0
2024-01-01,1045.83,11,95.07545454545453,1255.0
2024-01-02,491.65999999999997,8,61.457499999999996,590.0
2024-01-03,1325.0,13,101.92307692307692,1590.0
2024-01-04,1479.17,7,211.31,1775.0
2024-01-05,883.33,9,98.14777777777778,1060.0
2024-01-06,1862.49,12,155.2075,2235.0
