,Net Sales,Net Sales,Net Sales,Gross Sales
,sum,mean,count,sum
Hour,,,,
8.0,66.67,66.67,1,80.0
9.0,3119.26,103.98,30,3573.28
10.0,25196.43,156.5,161,29333.88
11.0,49200.25,149.09,330,57369.68
12.0,84853.83,157.43,539,99807.55
13.0,89679.32,156.51,573,105628.6
14.0,96478.5,147.3,655,113215.01
15.0,98367.44,166.72,590,115785.55
16.0,83168.24,150.39,553,97657.59
17.0,65145.66,132.95,490,77024.37
18.0,49325.39,119.72,412,58309.42
19.0,38980.73,129.5,301,46435.83
20.0,26061.23,143.19,182,31150.47
21.0,6578.34,99.67,66,7893.97
22.0,937.5,312.5,3,1125.0
