,Product,Total_Sales,Count,Avg_Sale
0,Peeling + Scrub + Butter,314156.3249278486,3270,96.07
3,Aloe Vera Peeling Gel,144982.90060353556,2677,54.16
69,Coral Luminous Wrinkle-Reducing Treatment |LAV,105602.7900039686,635,166.3
45,Nail Kit,102653.94392027345,2856,35.94
2,Mineral scrub,63739.01711219344,1522,41.88
6,Collagen Mask,61364.04806349203,311,197.31
10,Collagen Serum,44175.62743470419,378,116.87
41,SYNERGY  FACE,42586.01277092352,167,255.01
11,LUMI QUARTZ Rose,42027.3805,302,139.16
8,Collagen Day Cream,36175.73623376627,412,87.81
16,DERMINECK,34063.80935714285,203,167.8
12,ACTIVE LIFT Eye serum,29978.12993614715,276,108.62
17,FACIAL TREATMENT,29472.117539682567,529,55.71
20,REVERSE EYE Cream,28859.65882503606,253,114.07
9,Collagen Night Cream,28747.3363766234,290,99.13
18,Body Butter,27390.418413780644,535,51.2
7,SYNERGY  NECK,23016.489137806646,85,270.78
49,Revitalising Eye Cream,22401.113603174595,194,115.47
34,Brightening Face Serum,20431.109810966816,97,210.63
21,SYNERGY  EYE,20123.526146825396,83,242.45
35,Plumping Face Serum,19775.765168109665,98,201.79
48,DERMISONIC II,18449.216134920636,60,307.49
74,Peeling Gel,18316.313906204927,221,82.88
5,SCRUB + BUTTER,18197.48143939393,310,58.7
51,Revitalising Eye Serum,12421.736095238102,123,100.99
1,BIO HYDRATING FACIAL MASK,9498.280154761907,95,99.98
40,Marine Instant Wrinkle Corrector,7939.803333333333,51,155.68
30,Lifting Neck Cream,7847.314099206349,54,145.32
59,Clarifying Toner,7816.041591269841,92,84.96
29,Seagrass Cymosilk Masque,7734.323726190475,29,266.7
32,DERMIEYE,7388.185333333333,76,97.21
22,DERMIEYE PLUS,7366.524166666666,49,150.34
54,Gentle cleanser,7040.979386363635,123,57.24
19,DERMISONIC,6079.437261904764,37,164.31
58,Silky Milk Cleanser,5828.024261904762,72,80.94
31,Peeling Gel + Scrub,5094.898333333332,72,70.76
15,Intensive Facial Peel,4682.49115079365,35,133.79
57,Peeling gel + Cleanser + Toner,4324.1743434343425,42,102.96
47,Marine Algae Serum,4310.792861111111,22,195.95
39,HydroTherm Insense Maque,4127.520931457431,19,217.24
43,PINK CLAY MASK,3827.851055555556,37,103.46
55,Seagras Phyto Silk,3420.542272727272,15,228.04
38,HydroTherm Sauna Serum,3273.353431457431,16,204.58
63,SYNERGY MARBLE,3191.2658134920634,7,455.9
44,Biology Mousse Cleanser,3023.875253968254,20,151.19
13,Peeling + Collagen Day Cream,2702.1933333333327,33,81.88
14,Peeling Gel + Body Butter,2644.56,31,85.31
36,Toner OPATRA,2608.889111111111,31,84.16
37,Marine Deep Moisturizer,2317.9421428571427,16,144.87
61,Peeling + Day cream,2093.4932142857147,21,99.69
33,SKIN ANALYSIS,2028.9236785714284,26,78.04
56,Dermieye Plus + Eye Cream,1583.32,7,226.19
4,DEPOSIT,1520.0,13,116.92
50,Dermieye Plus + Eye Serum,1052.075,5,210.42
62,Peeling + night cream,921.7438888888889,11,83.79
68,Dermieye Plus + Eye Serum+Eye Cream,500.0,2,250.0
42,DERMIEYE + PEELING + EYE CREAM,125.0,1,125.0
46,Boost Hyaluromic Acid Serum,104.16625,1,104.17
53,Cleanser Obey,62.5,1,62.5
66,LUMI QUARTZ Rose -,0.0,1,0.0
73,Brightening Face Serum -,0.0,1,0.0
72,Plumping Face Serum -,0.0,1,0.0
71,Aloe Vera Peeling Gel -,0.0,1,0.0
70,Coral Luminous Wrinkle-Reducing Treatment |LAV -,0.0,1,0.0
67,SYNERGY  EYE  -,0.0,2,0.0
24,BIO HYDRATING FACIAL MASK -,0.0,1,0.0
65,Collagen Day Cream -,0.0,1,0.0
64,Revitalising Eye Serum -,0.0,1,0.0
25,ACTIVE LIFT Eye serum -,0.0,2,0.0
60,SYNERGY  NECK  -,0.0,1,0.0
26,Collagen Serum -,0.0,1,0.0
27,Mineral scrub -,0.0,1,0.0
28,Body Butter  -,0.0,1,0.0
52,Nail Kit -,0.0,1,0.0
23,DERMISONIC  -,0.0,1,0.0
